XJQHMnrelGc	You better bring these things to your next big Magic event! - MTG Spotlight Hobbit
1qpFij20v3Y	The best card isn't a rare or mythic... - MTG Hobbit
9Ufx-4f_KVM	My favorite interaction with Bilbo... - MTG Hobbit
SOEDtM0VNWI	Is it possible for an average MTG player to win the biggest tournament in Australia?
qlDtITTNUPQ	I'd grab these now... NEW Smaug combo alert! - MTG LotR
yQbig4ChbQc	Two weeks later, we got our answer... - MTG Bans June 30th
4lJ_RIuMbds	Opening $200 of Marvel Super Heroes so you don't have to! - MTG MSH
-ZV6dlalPHw	This Dr Doom Combo is EVIL - MTG Marvel Super Heroes Commander
EqiMm7vAxMM	This card might catch a DAY ONE BAN... - MTG Marvel Super Heroes
mbrFbPmBOwA	Checking out Disney Lorcana's Wilds Unknown - Brave, Incredibles and Toy Story!
X6BAuWGZuRA	Secrets Of Strixhaven - PACK CRACKING #2
CUcx9LzYQ1M	Secrets Of Strixhaven - PACK CRACKING #1
Z9Xga_SNcIM	I can't believe people played this format... - #mtg
7a8pSugcQVw	You could say this is a Heavy announcement...
bpHIhQNBWCE	Do Enchantments go to heaven? - MTG Lorwyn Eclipsed
yedaHAmbfCM	WotC put Sneak Attack into Standard... Kinda... - MTG Lorwyn Eclipsed
RRdwD5Em584	Do you *actually* know what triggers Wan Shi Tong? -  MTG Rules Question
hd_-ZpXsc-A	The best new 2 drops? - Riftbound Spiritforged PREVIEWS!
-zoNNih8aNY	How to get a FREE LEGENDARY Avatar Pet in MTG Arena!
J_EB7q4YsIk	Can Day of Black Sun stop the Earthbenders? - MTG Rules Question
RbUTJZugQC4	Why was this Frog in a tournament winning deck?
k82ETbisfVI	Can you bypass this protection? - MTG Rules Question
BYObMJY04nk	Do you know the rules about this rock? - MTG Rules - Edge of Eternities
zVV8GWEd7Bw	This is a SPICY Station deck... 🥵 - MTG Edge of Eternities
ohXaVXMQDIg	Did you know this about Warp? - MTG Edge of Eternities
Lj1DJ2DvMEE	There's a "no Rare/Mythic" infinite combo in Edge of Eternities limited...
lTIPuA_V4w4	Aang on a moment, this IS infinite - MTG Rules
YpGq7SXBsAo	Can the Darkness save me? - MTG Final Fantasy Rules Question
rkQAgiW4hNM	Deadpool VS Morph - Deadpool, Trading Card explained - MTG Rules
IOzqeTHQxk4	...and it can be done on TURN 3! - MTG x Final Fantasy #mtg #finalfantasy
AOsOblDkR68	Tishana HATES Final Fantasy Summons - MTG Rule Question
