3pAgXw_Q9pg	I have NO IDEA how this deck works but it's only $49, so I'm hoping you can test it and tell me. thx
5DNffu4TjTg	Tam is WHOLESALING Planeswalker Emblems
NqdseGcEkcc	Every Playgroup NEEDS a Yume (Part 2)
98n7dA1RUUI	Yume will REDEFINE how you play EDH (seriously)
NQtp203imxo	I Waited FIFTEEN Years for an Interesting Selesnya Commander
BC_TiC2tUek	We FINALLY Solved the Nephilim
TJFGbbJyS-w	1 Hour UUGGUU Sounds For Focus, Relaxing and Sleep (Very Ineffective)
PfoYSJfyhoc	Homer is Saving My Mental Health
0Y495n9eUjU	Cutting to 100 from HUNDREDS of Choices
Sh0WiJzPbk4	I (also) Built UUGGUU Wrong
_ja7JRsAnEw	People are building UUGGUU Wrong
BEGH93c3UL4	Jandor turns Draft Chaff Into Beasts
paKYr06QYMk	We SHOULD Take Another Look at Vehicles (in EDH)
gU9fEeOVgJw	EDH is More FUN When You Are the Threat
afdFjT8QQ8w	Borrowed Voltron with Loki, God of Lies | Marvel Super Heroes Deck Tech
jYHSOdWuFtE	The Most Interesting Colorless Commander in a Long Time
5ySc6m9DvTQ	I Built the Angeriest EDH Deck
KPr8y3d79s8	Captain Amerca is the BEST Vehicles Commander | Marvel Super Heroes Deck Tech
IBWEn1-km1w	POV: You're a MTGtuber and There Hasn't Been a Spoiler for 3 Weeks
nJzVxENgi80	WINNING With a 90$ Deck in Bracket 4
arRrJACkRng	Using Planeswalkers in EDH (in 2026)
zhuWXoKz3-k	The ONLY EDH Deck You'll Ever Need | Commander-Centric Deck Tech
vL-QThi6QHo	Raph and Mikey is NOT a Creature Deck
Q7m-mO87W8Q	Aristocrats REDEFINED with the Hobbit (Tom, Bert and William)
RWEr2JTpmi0	I've Been LOSING to the Same Deck for 6 Years | Commander-Centric Deck Tech
vYRuE4RyjBI	Is Monk Gyatso the Most Interesting ELDRAZI Commander?
pVqvX0PhQlM	The BEST Silverquill Deck is $90
kJRhTc0VoU0	Fixing the WORST Commander From Strixhaven Commander | Commander-Centric Deck Tech
LwKQkssg8Y8	This Gitrog Deck is NOTHING Like What You've Seen Before | Commander-Centric Deck Tech
u7pUcOv5DLw	This Dumb 50$ Deck is DESTROYING My Group | Commander-Centric Deck Tech
vu17J5VJ8ho	Baeloth Dominates the Combat Phase? | Playing With Myself Ep.3
kRjnVCKGKK0	Flubs's LAST chance to make something happen before I take him apart | Playing With Myself Ep.2
3tnyV9AEz_k	Can Flubs the Idiot get his crap together against the average table?  | Playing With Myself Ep.1
81mZFBVRoWU	Cards That Make You a Better Commander Player
pSbAttsk8PE	Why Mass Land Destruction is NOT the Answer You're Looking For
3Kh3Kupf2WI	Why Your Ozai Deck Doesn't Work
ZGYpjm2S46E	Aang Enables the Most EFFORTLESS Blink Deck I've Ever Seen  | Commander-Centric Deck Tech
rc_S1idV-1g	The CORRECT Way to Build Azula | Commander-Centric Deck Tech
IDFBdRLsjPg	You'll NEVER Worry About Combat Again | Commander-Centric Deck Tech
rbRzXnac8Qg	Your One-stop Guide to Using Beyblades to Determine Who Goes First in EDH (serious)
8CkbToYyj1k	Hare Apparent Just Got CRAZY with Lorwyn Eclipse
e0g52Kb-Vis	10 Cards You Can Cut From Your EDH Decks TODAY
bppPIEw2r7s	Finding INTERESTING Decks to Build in 2025 (Green Goblin/Fleem Deck Tech)
3HifzYJ8aVI	You NEED to Play More Protection Spells
Z6q-CJ0gUYY	Are We Playing Game Changers WRONG?
xVGfUGv8dqU	We NEED to Take Another Look at 3-drop Rocks
GHOBOAvwtbg	People are MISSING OUT on this Gruul Commander
hvxg4AtNMrk	Your Ur-Dragon Deck Has a Top-Heavy Problem (And we fix it)
YUyE5kri7XI	This Deck Teaches Your Group To Play More Removals (in EDH)
perDdC69TAo	A Guide to Playing with Exile (in EDH)
M0gv-MAFETU	This Commander Deck Has an Identity Crisis
Az8Q-IusuWM	The Guide to Playing Utility Lands (in EDH)
WNu1yqnjHWA	The Biggest Commander Deck (Ever)
6KJ0YnahJtI	Stop Playing Sorcery Speed Removals (in EDH)
s34uWs-WXBs	Riding in a Spacecraft, Beating People up
Hlo-Vu9Ws7o	How to Evaluate Magic Cards (in EDH)
X-tPH9fixZQ	The Insurance Fraud Commander Deck with RMS Titanic Spacecraft
l_7gjqlUqdM	My Favourite Budget Deck Took 10 Minutes to Design
_dEFTfKCv6c	Cloud Vs Tifa? Final Fantasy Limit Break Collector Deck Opening
FwB621JpabM	This Precon is a Mess - Final Fantasy Scions and Spellcraft Collector Deck Opening
WVxk3ciZGSQ	The Most Synergistic Precon - Final Fantasy Counter Blitz Collector Deck Opening
DLcSx--csMI	Upgrading to Bracket 3 - Final Fantasy Revival Trance Collector Deck Opening
8ZiU6ny3G5c	Don't you miss when the collectors box was ONLY 700 dollars.
gVuQshGgjh4	I Found a Vivi Alternative for 20¢
LJrlgLlut3Q	When EDHREC Suggests Bad Cards
L2f55jayUwQ	Live Footage of Unplayable Fodder Becoming My New Favourite Final Fantasy Commander
sMjPgYq_un8	Building Every Single Final Fantasy Commander (Part 1 of 2: Multicolored)
TUX72FiifQM	A Burn Deck's Path to Bracket 4
V7kbNTNInDc	Let's Build a Final Fantasy Commander from Scratch WITHOUT Using EDHREC
9oV3EuzWmus	Ranking the Top 10 Precon Face Commanders
X-TmnMNYJXw	These 15 Cards Sum Up What I Learned in 15 Years of Playing Commander
S5aUTWMCqM4	Why Your Budget Commander Deck is Better Than Their $10K Pile - Featuring Vivi Ornitier
IglzxQnlh_E	A Guide to Flubs - The Most Challenging Deck I've Ever Built
