tsrgFKgkqkQ	The Four Ways an EDH Deck Can Fail
61SV6wUoI7w	What happens when you delete the wincons in a high power deck?
U9aV8UBLHMU	EDH Doesn't Have Archetypes
gi2uqdtxhhE	The Deck Ideas I Haven't Given Up On (yet)
0mlSit144IE	The Subtle Traps that make Good Deck Ideas Fall Apart
1TTeakpBvXY	It's okay to put *some* janky trash in your deck
uwChfFJvSAw	Silly Deckbuilding Restrictions, and why they make our brains go zoom
7E4AwxKeyRY	The Two Rules for Making a Successful "Hidden Commander" Deck
0tDeIwWJg0s	The Subtle Reason Why Sets Feel Worse Now
ISr_7Z_lzWQ	Snail's Guide to Giving Your Deck More Sauce
nG-oQA_6RUU	The New Lorehold Precon Has a Bit of an Issue
9zlEVOVcKBE	Bonus video: A deep dive into the many follies of my past Liesa decks
kR3C_OC5BzU	How I Failed to Build an Aggro Deck for 3 Years
nT7NJ_BtqPA	Why Not Put Sol Ring on the Gamechangers List?
VLdny8IVXYE	A Lukewarm Defense of Sol Ring
IJYU_rzCcP8	Rhystic Study and the Dark Side of EDH
8OzOVRYOFQc	Blight Curse is a Johnny Playground
D2MRb3j4iYk	You Might Have Too Much Ramp (but you also might not)
QkFEcdSR7NA	My own deckbuilding mistakes, and why I made them
Oh_a34vdtIA	The 5 Most Common Deckbuilding Mistakes, and How to Avoid Them
pUlUFTTyI68	Bonus video: Why designer intent matters (kind of)
EVlLh4FI82c	The Hybrid Mana Debacle, and how WotC caused it
rk3o-DWPVrI	A Tale of Two Commander Tax Evaders
XE126Dy_JU8	In Defense of Eminence
A4oASMevloo	The Problem with Glass Cannon Commanders
3B4UZgJ3LE0	Why I Built a Deck With Way Too Many Subthemes
XPs-w-0aIkQ	The Worst EDH Deck I've Ever Built (in paper)
EpD1zC6xgk8	Endnote - Brackets and Rule 0
B2SufPMcJUI	r/EDH and Communication
B2WOII9v1DY	How I use Commander's Most Misunderstood Tool
Wu1mI_xS2SU	Bonus video: Five cards from Edge of Eternities that I have Thoughts about
MGTOWsH_tsA	This Land Sacrifice Precon is Great Aside From One Thing
mDHrUxOWNHA	The Most Forgotten Part of EDH Deckbuilding
llziAHCmNpM	Bonus video: Interaction Audit
C2k8XJ_jGKc	The Things EDH Players Get Wrong about Interaction
0tOkVJcibDw	I Was Given Three Perplexing Cards to Build a Deck With
K9wmq_nepe4	The Odd Truth About Draw in EDH
zAtfawtYEw4	Snail's Guide to Drawing Less Junk
aXM1P-HESLs	The No Es Deckbuilding Challenge
ccAea-2xqAU	The Difficult Reality of the Tutor Question
tsUjce-0HkI	The Simple Question that Determines What Type of EDH Player You Are
owPWRYhY1VA	Stop Shortcutting the Fun Part of your Deck
N-dlT70doB8	Eternal Might is the Messiest Zombie Deck I've Ever Seen
upOHRVHB22g	I Challenged My Community to Make Decks with Bad Baldur's Gate Commanders
YcSHb11AqL4	My Brother and I Built a Tool to Yell at You About Your Manabase
o-81HF-Jp7o	How I Built My Most Difficult Deck
nb_jLL3WrB4	All of the Reasons You Should Put More Lands in your EDH Deck
_1H-R9NWpp0	The Lessons that EDH-only Players Don't Learn
R8LqEt7k1-c	The Strange Method for Building EDH Decks that I Can't Stop Using
Ny6XxPZLjSs	I Challenged My Community to Deckbuild with Some of the Least Popular Commanders
ktU-_awFchQ	I Built a Deck That Turns EDH Games into Hellbent Cagefights
qB572KenoFE	You're Probably Wrong about Stax in EDH
xM2b3QLCuxA	Snail Reviews a Slug Deck (+ some ban opinions)
iQq-WXt3Z1Q	The Sluggish Era of Tall Commander
j_Z7IuZQqQI	The Impossible Search for a "Fun" Combo Deck
eTi1PtXYzmo	Let's Talk About My Most Controversial Video
ZnDWcmilTyQ	Is the Peace Offering Deck Actually Group Hug?
PFdpbJPArU4	The Strange Ethical Case for Playing Boring Decks
yviEDQp1WRw	How to Play More Removal (and be happy about it)
LbWhyElEbLg	Stop Turning your Commander into a Combo Piece
-VQ4DvfzQFw	The Hidden Trap of Tribal Decks
_1-xTvcbV4A	The Most Complicated Deck I've Ever Played
STkJOO92Ql4	I Spent Two Years Playing EDH With a Pool of $25 Decks
Din4kwnOyVI	How I Built My Most Powerful Deck (for $100)
ivZJIDxLXAo	Your Pet Cards Deserve a Better Home
TO0ZqIrw9fE	Is Gonti Confused or am I Confused?
ceILMLrNCGw	How to be a Greedy Bastard in EDH (and get away with it)
PnxdctuFTQ0	When (not) to Upgrade Your Decks
23iBQNMR9G8	Does Power Level Matter?
8m-BcgDND_Q	My Playgroup's Best Deck is $20
HP5slQPE4xo	Can Gruul Control?  |  Patron deck breakdown
B0RFuJv1Nfk	The Problem with cEDH
MCRVQ2fV7Oc	Some channel updates + Q&A
PRvJsO23Usc	The Art of the Mulligan
k1G2Y4dmaDQ	What is going on with Blame Game?
LCfwcf32PtU	Snail's Guide to Winning an EDH Game
o-VR3Du6Z5Y	The Hidden Lore of an EDHRec Page
DTAhqhi8LU0	Your Manabase Deserves Better
vJ78fos7nGQ	The Way to Fit More Cards into your Cards
JVophcFxxmI	Snail's Guide to Tuning Your Jank
moQG483aiaU	The Curse of Smol Bean Syndrome
RveOlVils2k	How WotC Made Cycling Bland in EDH
2lHQairFpf8	You're Probably Playing the Wrong Ramp (in EDH)
GpLNTVF1UqY	Aggro Ideology: A Guide to Spee-DH
SKKgFbU72bU	EDH’s Combo Conundrum
JvHLS1O4ODk	The Problem with Board Wipes (in EDH)
7xjyY5byGys	The Problem with "Budget" Cards
YXpd-vcVv24	A Weird Trick to Make Cool Midrange Decks
D-jayFdJYRw	The EDHRec Effect
